"ko","en"
"홍보수석","Senior Press Secretary to the President"
"환경관리공단(EMC)","Environmental Management Corporation"
"환경노동위원회","Environment and Labor Committee"
"환경부","Ministry of Environment"
"환승여객","Transfer Passenger"
"환전소","Money Exchange Counters"
"회계과","Accounting Division"
"회기","Session"
"회부","Reference (재회부 Re-referring)"
"회원","Member"
"회원","Member"
"회의록","Minutes / Records / Proceedings"
"회장","President"
"회장","President"
"회장","President"
"회장","President"
"후원회","Political Supporters' Group / Financial Support Association (후원회 행사) Fund Raiser (Event)"
"휴회","Recess"
